Pais;Cliente;Pacote;VC;Canal;Tecnología;Categoría;Disponibilidad
Puerto Rico;POS_PR;Demo;962;Music Choice Bluegrass;Audio;Audio;Si
Puerto Rico;POS_PR;Demo;963;Music Choice Vietnamese;Audio;Audio;Si
Puerto Rico;POS_PR;Demo;964;Music Choice Gospel;Audio;Audio;Si
Puerto Rico;POS_PR;Demo;965;Music Choice 60s Movement;Audio;Audio;Si
Puerto Rico;POS_PR;Demo;966;Music Choice Filipino;Audio;Audio;Si
Puerto Rico;POS_PR;Demo;967;Music Choice Sounds of the Season;Audio;Audio;Si
Puerto Rico;POS_PR;Demo 2;162;Telemundo;HD;Nacional;Si
Puerto Rico;POS_PR;Demo 2;164;WAPA TV;HD;Nacional;Si
Puerto Rico;POS_PR;Demo 2;166;WIPR;SD;Nacional;Si
Puerto Rico;POS_PR;Demo 2;167;Teleislas;SD;Nacional;Si
Puerto Rico;POS_PR;Demo 2;168;TeleOnce HD;HD;Nacional;Si
Puerto Rico;POS_PR;Demo 2;169;Daystar Español;SD;Nacional;Si
Puerto Rico;POS_PR;Demo 2;170;Fox News;HD;Nacional;Si
Puerto Rico;POS_PR;Demo 2;172;ABC5;HD;Nacional;Si
Puerto Rico;POS_PR;Demo 2;174;CBS;HD;Nacional;Si
Puerto Rico;POS_PR;Demo 2;176;NBC PR;HD;Nacional;Si
Puerto Rico;POS_PR;Demo 2;179;Punto 2;HD;Nacional;Si
Puerto Rico;POS_PR;Demo 2;181;TV Dominicana;SD;Nacional;Si
Puerto Rico;POS_PR;Demo 2;182;TV Chile;SD;Nacional;Si
Puerto Rico;POS_PR;Demo 2;183;TeleOro;SD;Nacional;Si
Puerto Rico;POS_PR;Demo 2;185;Telecinco;SD;Local;Si
Puerto Rico;POS_PR;Demo 2;186;UniMás;SD;Local;Si
Puerto Rico;POS_PR;Demo 2;188;QVC;SD;Variedades;Si
Puerto Rico;POS_PR;Demo 2;189;QVC 2;SD;Variedades;Si
Puerto Rico;POS_PR;Demo 2;190;Home Shopping Network (HSN);SD;Variedades;Si
Puerto Rico;POS_PR;Demo 2;191;Home Shopping Network (HSN) 2;SD;Variedades;Si
Puerto Rico;POS_PR;Demo 2;220;Bravo;HD;Variedades;Si
