Pais;Cliente;Pacote;VC;Canal;Tecnología;Categoría;Disponibilidad
Barbados;Pospago;HBO Gold;1521;TV Cortos HD;HD;Series Y Peliculas;Si
Barbados;Pospago;HBO Gold;1527;HBO Caribbean HD;HD;Series Y Peliculas;Si
Barbados;Pospago;HBO Gold;1528;HBO Signature HD;HD;Series Y Peliculas;Si
Barbados;Pospago;HBO Gold;1532;HBO Plus HD;HD;Series Y Peliculas;Si
Barbados;Pospago;HBO Gold;1534;HBO Family HD;HD;Series Y Peliculas;Si
Barbados;Pospago;HBO Gold;1610;DSports HD;HD;Deportes;Si
Barbados;Pospago;HBO Gold;1612;DSports 2 HD;HD;Deportes;Si
Barbados;Pospago;HBO Gold;1620;DSports Fight HD;HD;Deportes;Si
Barbados;Pospago;HBO Gold;1621;ESPN Caribbean HD;HD;Deportes;Si
Barbados;Pospago;HBO Gold;1628;The Golf Channel LA HD;HD;Deportes;Si
Barbados;Pospago;HBO Gold;1667;Flow Sports Network HD;HD;Deportes;Si
Barbados;Pospago;HBO Gold;1730;National Geographic HD;HD;Ciencia Y Cultura;Si
