Pais;Cliente;Pacote;VC;Canal;Tecnología;Categoría
PUERTO RICO;CORPORATIVO;CMOFF ST;730;NAT GEO MUNDO;SD;CIENCIA Y CULTURA
PUERTO RICO;CORPORATIVO;CMOFF ST;732;DISCOVERY EN ESPAÑOL;SD;CIENCIA Y CULTURA
PUERTO RICO;CORPORATIVO;CMOFF ST;734;ANIMAL PLANET LA;SD;CIENCIA Y CULTURA
PUERTO RICO;CORPORATIVO;CMOFF ST;742;HISTORY ANDES;SD;CIENCIA Y CULTURA
PUERTO RICO;CORPORATIVO;CMOFF ST;744;FYI;HD;HOGAR Y VARIEDADES
PUERTO RICO;CORPORATIVO;CMOFF ST;745;SYFY;HD;SERIES Y PELICULAS
PUERTO RICO;CORPORATIVO;CMOFF ST;752;DISCOVERY US;HD;CIENCIA Y CULTURA
PUERTO RICO;CORPORATIVO;CMOFF ST;754;THE LEARNING CHANNEL;HD;HOGAR Y VARIEDADES
PUERTO RICO;CORPORATIVO;CMOFF ST;756;HISTORY US;HD;CIENCIA Y CULTURA
PUERTO RICO;CORPORATIVO;CMOFF ST;760;TVE;SD;NACIONAL
PUERTO RICO;CORPORATIVO;CMOFF ST;764;HITN;SD;EDUCATIVO
PUERTO RICO;CORPORATIVO;HOTEL XTRA (10/15//20/25/30/40/50/55/60);162;TELEMUNDO PR;HD;NACIONAL
PUERTO RICO;CORPORATIVO;HOTEL XTRA (10/15//20/25/30/40/50/55/60);164;WAPA TV;HD;NACIONAL
PUERTO RICO;CORPORATIVO;HOTEL XTRA (10/15//20/25/30/40/50/55/60);166;WIPR;SD;NACIONAL
PUERTO RICO;CORPORATIVO;HOTEL XTRA (10/15//20/25/30/40/50/55/60);167;UNIVISION;SD;NACIONAL
PUERTO RICO;CORPORATIVO;HOTEL XTRA (10/15//20/25/30/40/50/55/60);168;TELEONCE;HD;NACIONAL
PUERTO RICO;CORPORATIVO;HOTEL XTRA (10/15//20/25/30/40/50/55/60);169;DAYSTAR ESPAÑOL;SD;RELIGIOSO
PUERTO RICO;CORPORATIVO;HOTEL XTRA (10/15//20/25/30/40/50/55/60);170;FOX PR;HD;NACIONAL
PUERTO RICO;CORPORATIVO;HOTEL XTRA (10/15//20/25/30/40/50/55/60);172;ABC5 PR;HD;NACIONAL
PUERTO RICO;CORPORATIVO;HOTEL XTRA (10/15//20/25/30/40/50/55/60);174;CBS PR;HD;NACIONAL
PUERTO RICO;CORPORATIVO;HOTEL XTRA (10/15//20/25/30/40/50/55/60);176;NBC PR;HD;NACIONAL
PUERTO RICO;CORPORATIVO;HOTEL XTRA (10/15//20/25/30/40/50/55/60);179;PUNTO 2;HD;NACIONAL
PUERTO RICO;CORPORATIVO;HOTEL XTRA (10/15//20/25/30/40/50/55/60);181;TV DOMINICANA;SD;NACIONAL
PUERTO RICO;CORPORATIVO;HOTEL XTRA (10/15//20/25/30/40/50/55/60);182;TV CHILE;SD;NACIONAL
PUERTO RICO;CORPORATIVO;HOTEL XTRA (10/15//20/25/30/40/50/55/60);183;TELEORO;SD;NACIONAL
PUERTO RICO;CORPORATIVO;HOTEL XTRA (10/15//20/25/30/40/50/55/60);185;TELECINCO;SD;NACIONAL
PUERTO RICO;CORPORATIVO;HOTEL XTRA (10/15//20/25/30/40/50/55/60);188;QVC;HD;HOGAR Y VARIEDADES
PUERTO RICO;CORPORATIVO;HOTEL XTRA (10/15//20/25/30/40/50/55/60);189;QVC 2;SD;HOGAR Y VARIEDADES
PUERTO RICO;CORPORATIVO;HOTEL XTRA (10/15//20/25/30/40/50/55/60);190;HOME SHOPPING NETWORK;HD;HOGAR Y VARIEDADES
