Pais;Cliente;Pacote;VC;Canal;Tecnología;Categoría
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;612;D SPORTS 2;SD;DEPORTES
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;613;D SPORTS+;SD;DEPORTES
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;620;TYC SPORTS;SD;DEPORTES
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;621;ESPN;SD;DEPORTES
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;622;ESPN 2;SD;DEPORTES
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;623;ESPN 3;SD;DEPORTES
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;631;DSPORTS RADIO;SD;DEPORTES
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;656;DEPORTV;SD;DEPORTES
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;700;DNEWS;SD;NOTICIAS
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;700;DNEWS;SD;NOTICIAS
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;704;CNN EN ESPAÑOL;SD;NOTICIAS
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;715;LA NACIÓN+;SD;NOTICIAS
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;716;TODO NOTICIAS;SD;NOTICIAS
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;717;C5N;SD;NOTICIAS
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;718;CRÓNICA TV;SD;NOTICIAS
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;719;A24;SD;NOTICIAS
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;720;CANAL 26;SD;NOTICIAS
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;724;CHACRA TV;SD;EDUCATIVO
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;726;TELEMAX;SD;NACIONAL
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;728;CANAL RURAL;SD;EDUCATIVO
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;729;CONSTRUIR TV;SD;EDUCATIVO
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;730;NATIONAL GEOGRAPHIC;SD;CIENCIA Y CULTURA
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;732;DISCOVERY;SD;CIENCIA Y CULTURA
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;734;ANIMAL PLANET;SD;CIENCIA Y CULTURA
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;742;HISTORY;SD;CIENCIA Y CULTURA
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;764;FRANCE 24;SD;NOTICIAS
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;773;EL TIEMPO TV;SD;NOTICIAS
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;774;TV CHILE;SD;NACIONAL
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;790;CGTN ESPAÑOL;SD;NOTICIAS
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;795;TV PERÚ;SD;NACIONAL
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;804;ESCUELA+;SD;EDUCATIVO
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;1120;AMÉRICA HD;HD;NACIONAL
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;1121;TV PÚBLICA HD;HD;NACIONAL
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;1122;EL NUEVE HD;HD;NACIONAL
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;1123;TELEFÉ HD;HD;NACIONAL
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;1124;EL TRECE HD;HD;NACIONAL
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;1125;NET TV HD;HD;NACIONAL
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;1127;DSHOW HD;HD;HOGAR Y VARIEDADES
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;1199;KZO HD;HD;HOGAR Y VARIEDADES
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;1204;STAR CHANNEL HD;HD;SERIES Y PELICULAS
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;1206;WARNER HD;HD;SERIES Y PELICULAS
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;1207;A&E HD;HD;SERIES Y PELICULAS
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;1208;SONY HD;HD;SERIES Y PELICULAS
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;1209;AXN HD;HD;SERIES Y PELICULAS
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;1217;FX HD;HD;SERIES Y PELICULAS
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;1218;UNIVERSAL HD;HD;SERIES Y PELICULAS
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;1221;¡HOLA! TV HD;HD;HOGAR Y VARIEDADES
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;1222;E! HD;HD;HOGAR Y VARIEDADES
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;1229;DISCOVERY HOME & HEALTH HD;HD;HOGAR Y VARIEDADES
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;1231;A LA COCINA;HD;GASTRONÓMICO
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;1236;CIUDAD MAGAZINE HD;HD;HOGAR Y VARIEDADES
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;1237;VEPLUS HD;HD;HOGAR Y VARIEDADES
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;1264;MTV HD;HD;MUSICAL
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;1265;MUSIC TOP HD;HD;MUSICAL
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;1269;QUIERO MÚSICA EN MI IDIOMA HD;HD;MUSICAL
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;1270;LATINA TV HD;HD;NACIONAL
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;1304;CARTOON NETWORK HD;HD;INFANTIL
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;1310;REINO INFANTIL;SD;INFANTIL
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;1312;DISNEY CHANNEL HD;HD;INFANTIL
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;1315;DISNEY JUNIOR HD;HD;INFANTIL
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;1318;PLIM PLIM HD;HD;INFANTIL
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;1330;DISCOVERY KIDS HD;HD;INFANTIL
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;1502;TNT HD;HD;SERIES Y PELICULAS
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;1507;CINECANAL HD;HD;SERIES Y PELICULAS
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;1508;STUDIO UNIVERSAL HD;HD;SERIES Y PELICULAS
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;1510;MÓRBIDO TV HD;HD;SERIES Y PELICULAS
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;1518;SPACE HD;HD;SERIES Y PELICULAS
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;1605;FOX SPORTS HD;HD;DEPORTES
ARGENTINA;POSPAGO;DIRECTV BRONCE HD;1608;FOX SPORTS 2 HD;HD;DEPORTES
