Pais;Cliente;Pacote;VC;Canal;Tecnología;Categoría
BARBADOS;POSPAGO;GOLD / GOLD +;262;VH1 USA;SD;MUSICAL
BARBADOS;POSPAGO;GOLD / GOLD +;264;MTV LA;SD;MUSICAL
BARBADOS;POSPAGO;GOLD / GOLD +;304;CARTOON NETWORK;SD;INFANTIL
BARBADOS;POSPAGO;GOLD / GOLD +;308;NICKELODEON LA;SD;INFANTIL
BARBADOS;POSPAGO;GOLD / GOLD +;314;DISNEY CHANNEL;SD;INFANTIL
BARBADOS;POSPAGO;GOLD / GOLD +;315;DISNEY JUNIOR;SD;INFANTIL
BARBADOS;POSPAGO;GOLD / GOLD +;321;ZOO MOO;SD;INFANTIL
BARBADOS;POSPAGO;GOLD / GOLD +;322;NICKELODEON USA;SD;INFANTIL
BARBADOS;POSPAGO;GOLD / GOLD +;330;DISCOVERY KIDS;SD;INFANTIL
BARBADOS;POSPAGO;GOLD / GOLD +;334;CARTOONITO;SD;INFANTIL
BARBADOS;POSPAGO;GOLD / GOLD +;358;DAYSTAR;SD;RELIGIOSO
BARBADOS;POSPAGO;GOLD / GOLD +;501;LMN US;SD;SERIES Y PELICULAS
BARBADOS;POSPAGO;GOLD / GOLD +;502;TNT;SD;SERIES Y PELICULAS
BARBADOS;POSPAGO;GOLD / GOLD +;503;GOLDEN;SD;SERIES Y PELICULAS
BARBADOS;POSPAGO;GOLD / GOLD +;506;SONY MOVIES;SD;SERIES Y PELICULAS
BARBADOS;POSPAGO;GOLD / GOLD +;507;CINECANAL;SD;SERIES Y PELICULAS
BARBADOS;POSPAGO;GOLD / GOLD +;508;STUDIO UNIVERSAL;SD;SERIES Y PELICULAS
BARBADOS;POSPAGO;GOLD / GOLD +;509;CINEMAX;SD;SERIES Y PELICULAS
BARBADOS;POSPAGO;GOLD / GOLD +;510;PARAMOUNT;SD;SERIES Y PELICULAS
BARBADOS;POSPAGO;GOLD / GOLD +;513;DHE;SD;SERIES Y PELICULAS
BARBADOS;POSPAGO;GOLD / GOLD +;517;GOLDEN EDGE;SD;SERIES Y PELICULAS
BARBADOS;POSPAGO;GOLD / GOLD +;518;SPACE;SD;SERIES Y PELICULAS
BARBADOS;POSPAGO;GOLD / GOLD +;600;DIRECTV SPORTS PORTAL;SD;DEPORTES
BARBADOS;POSPAGO;GOLD / GOLD +;610;DIRECTV SPORTS;SD;DEPORTES
BARBADOS;POSPAGO;GOLD / GOLD +;612;DIRECTV SPORTS 2;SD;DEPORTES
BARBADOS;POSPAGO;GOLD / GOLD +;620;DIRECTV SPORTS FIGHT;SD;DEPORTES
BARBADOS;POSPAGO;GOLD / GOLD +;621;ESPN CARIBBEAN;SD;DEPORTES
BARBADOS;POSPAGO;GOLD / GOLD +;622;ESPN 2 CARIBBEAN;SD;DEPORTES
BARBADOS;POSPAGO;GOLD / GOLD +;628;THE GOLF CHANNEL LA;SD;DEPORTES
BARBADOS;POSPAGO;GOLD / GOLD +;667;FLOW SPORTS NETWORK;SD;DEPORTES
BARBADOS;POSPAGO;GOLD / GOLD +;702;CNN;SD;NOTICIAS
BARBADOS;POSPAGO;GOLD / GOLD +;706;CNN INTERNATIONAL;SD;NOTICIAS
BARBADOS;POSPAGO;GOLD / GOLD +;710;BLOOMBERG;SD;NOTICIAS
BARBADOS;POSPAGO;GOLD / GOLD +;730;NATIONAL GEOGRAPHIC;SD;CIENCIA Y CULTURA
BARBADOS;POSPAGO;GOLD / GOLD +;732;DISCOVERY;SD;CIENCIA Y CULTURA
BARBADOS;POSPAGO;GOLD / GOLD +;734;ANIMAL PLANET;SD;CIENCIA Y CULTURA
BARBADOS;POSPAGO;GOLD / GOLD +;736;DISCOVERY TURBO;SD;HOGAR Y VARIEDADES
BARBADOS;POSPAGO;GOLD / GOLD +;740;TLC;SD;HOGAR Y VARIEDADES
BARBADOS;POSPAGO;GOLD / GOLD +;742;HISTORY LA;SD;CIENCIA Y CULTURA
BARBADOS;POSPAGO;GOLD / GOLD +;744;HISTORY 2 LA;SD;CIENCIA Y CULTURA
BARBADOS;POSPAGO;GOLD / GOLD +;746;FILM & ARTS;SD;CIENCIA Y CULTURA
BARBADOS;POSPAGO;GOLD / GOLD +;756;HISTORY US;SD;CIENCIA Y CULTURA
BARBADOS;POSPAGO;GOLD / GOLD +;768;BBC;SD;INFORMATIVO
